계약연월,매매가격지수,시군구,매매가격,전세가격지수,소비자물가지수-총지수,PIR,PIR_소득,PIR_처분가능소득,소득,처분가능소득,구별 인구이동수,부동산 정책 시행,지하철,백화점,아파트브랜드,혼인건수,미분양주택현황(호),스타벅스 수,dfg,도시지역면적 (㎡),주거지역면적 (㎡),상업지역면적 (㎡),공업지역면적 (㎡),녹지지역면적 (㎡)
201602,77.6,강남구,111150.4991,95.4,98.881,22.6,18.30476956,22.63128382,414.2,335,-381,0,28,4,15,3032,4,,강남구201601,39550000,22016574,2320955,0,15212471
201603,77.6,강남구,101765.2917,95.5,101.72,21,17.2696853,21.02350542,426.4,350.3,-906,0,28,4,15,3032,3,,강남구201601,39550000,22016574,2320955,0,15212471
201604,77.8,강남구,101788.7925,95.6,104.54,23.2,18.86033027,23.17358123,434.7,353.8,-602,0,28,4,15,3032,3,,강남구201601,39550000,22016574,2320955,0,15212471
201605,78.2,강남구,113732.9114,95.9,78.065,27.4,21.43290878,27.36804871,470.4,368.4,-586,0,28,4,15,3032,3,,강남구201601,39550000,22016574,2320955,0,15212471
201606,78.8,강남구,107822.6205,96.3,82.593,23.1,19.11219406,23.05693852,303.3,251.4,-366,0,28,4,15,3032,3,,강남구201601,39550000,22016574,2320955,0,15212471
201607,79.5,강남구,108956.09,96.3,89.515,27.7,22.83505486,27.67343719,328.1,270.7,-362,0,28,4,15,3032,2,,강남구201601,39550000,22016574,2320955,0,15212471
201608,80.1,강남구,116794.3501,96.1,95.59,25.7,20.7959723,25.66687902,366,296.6,-167,1,28,4,15,3032,2,,강남구201601,39550000,22016574,2320955,0,15212471
201609,80.7,강남구,112560.6086,96.1,98.727,21.2,17.12980439,21.1818849,419.3,339.1,-448,0,28,4,15,3032,2,,강남구201601,39550000,22016574,2320955,0,15212471
201610,81.5,강남구,120417.4196,96.3,103.07,20.6,16.83018002,20.63108166,427.1,348.4,-357,0,28,4,15,3032,2,,강남구201601,39550000,22016574,2320955,0,15212471
201611,81.9,강남구,114009.4587,96.4,104.91,22.6,18.30466986,22.60815248,453.7,367.4,-684,1,28,4,15,3032,2,,강남구201601,39550000,22016574,2320955,0,15212471
201612,81.8,강남구,113764.5334,96.6,78.846,23.1,19.19176603,23.14230088,275.8,228.7,-797,0,28,4,15,3032,0,,강남구201601,39550000,22016574,2320955,0,15212471
201701,81.7,강남구,113048.0511,96.7,85.013,29.5,24.37324788,29.54676184,296.6,244.6,-115,0,28,4,15,2677,0,,강남구201701,39497268,24188974,1677285,0,13631009
201702,81.7,강남구,119335.0748,96.8,91.227,31.3,25.68133248,31.2994687,337.1,276.6,-228,0,28,4,15,2677,0,,강남구201701,39497268,24188974,1677285,0,13631009
201703,81.8,강남구,115678.3763,96.9,96.907,26.7,21.63953052,26.74651373,385.8,312.1,-294,0,28,4,15,2677,0,,강남구201701,39497268,24188974,1677285,0,13631009
201704,82,강남구,115470.8903,97,99.82,23.9,19.47069272,23.93386282,404.1,328.7,-311,0,28,4,15,2677,0,,강남구201701,39497268,24188974,1677285,0,13631009
201705,82.3,강남구,116276.4073,97.2,103.78,22.2,18.1906666,22.18142906,430.2,352.8,-411,0,28,4,15,2677,0,,강남구201701,39497268,24188974,1677285,0,13631009
201706,83.2,강남구,118501.8619,97.5,75.775,23.6,18.63548492,23.55973696,476.3,376.7,-344,3,28,4,16,2677,0,,강남구201701,39497268,24188974,1677285,0,13631009
201707,83.9,강남구,124806.1287,97.8,79.704,28.1,23.27865622,28.07979885,286.3,237.4,-264,0,28,4,16,2677,0,,강남구201701,39497268,24188974,1677285,0,13631009
201708,84.7,강남구,130189.3812,98.1,86.028,30.4,24.96659807,30.36988077,313.4,257.7,-354,3,28,4,16,2677,0,,강남구201701,39497268,24188974,1677285,0,13631009
201709,84.6,강남구,122835.5706,98.2,92.94,31.5,25.62939839,31.50422186,347.2,282.5,-793,2,28,4,16,2677,0,,강남구201701,39497268,24188974,1677285,0,13631009
201710,85.1,강남구,124705.5569,98.5,97.114,27.1,21.87297762,27.05320787,389.8,315.1,-756,2,28,4,16,2677,0,,강남구201701,39497268,24188974,1677285,0,13631009
201711,86,강남구,131502.0488,98.7,100.18,23.6,19.329333,23.64205967,416.3,340.4,-930,2,28,4,16,2677,0,,강남구201701,39497268,24188974,1677285,0,13631009
201712,87.1,강남구,135954.1111,99.1,104.31,22.9,18.5978946,22.87436659,455.5,370.4,-880,1,28,4,16,2677,0,,강남구201701,39497268,24188974,1677285,0,13631009
201801,89.2,강남구,138340.6285,99.5,76.887,25.3,19.63531318,25.31345066,474.8,368.3,-463,2,28,4,16,2519,0,,강남구201801,39497268,24188974,1677285,0,13631009
201802,91.1,강남구,143755.0719,99.8,80.251,28.7,23.72388551,28.65974629,281.6,233.1,-449,0,28,4,16,2519,0,,강남구201801,39497268,24188974,1677285,0,13631009
201803,93.1,강남구,142512.7169,99.9,87.589,31.5,25.92278173,31.49720895,307.5,253,-853,1,28,4,16,2519,0,,강남구201801,39497268,24188974,1677285,0,13631009
201804,94.3,강남구,140656.0563,100,94.382,30.4,24.97195795,30.44805949,345,282.9,-841,1,28,4,16,2519,0,,강남구201801,39497268,24188974,1677285,0,13631009
201805,94.8,강남구,132335.1989,99.6,98.114,27.6,22.60099357,27.59934909,388.3,318,"-1,191",0,28,4,16,2519,0,,강남구201801,39497268,24188974,1677285,0,13631009
201806,95,강남구,144517.5287,99.5,100.92,25.2,20.49107865,25.16820903,415.2,338.1,-744,0,28,4,16,2519,0,,강남구201801,39497268,24188974,1677285,0,13631009
201807,95.3,강남구,153068.547,99.5,105.7,24.5,19.89171071,24.51218178,444.5,360.7,-485,0,28,4,16,2519,0,,강남구201801,39497268,24188974,1677285,0,13631009
201808,96.5,강남구,160634.5278,99.6,78.065,27.4,21.70620177,27.37555764,460.6,365.2,-235,0,28,4,16,2519,0,,강남구201801,39497268,24188974,1677285,0,13631009
201809,99.5,강남구,164232.3962,100.1,81.89,28.3,23.42300613,28.30001726,283.8,234.9,-449,0,28,4,16,2519,-,,강남구201801,39497268,24188974,1677285,0,13631009
201810,100.2,강남구,161509.5802,100.4,88.135,30.9,25.34235124,30.89670224,325.6,267,-148,0,28,4,16,2519,-,,강남구201801,39497268,24188974,1677285,0,13631009
201811,100.3,강남구,140145,100.5,95.608,28.3,23.04848317,28.32425185,372.8,303.4,-631,0,28,4,17,2519,0,,강남구201801,39497268,24188974,1677285,0,13631009
201812,100.2,강남구,148549.6525,100.2,98.989,26.3,21.51263678,26.34797555,394.2,321.9,-236,0,28,4,17,2519,0,,강남구201801,39497268,24188974,1677285,0,13631009
