yyyymm,buy_index,sgg,rent_index,cpi,pir,move_population,subway,department_store,apart_brand,marry,unsold
201408,74,강동구,85.8,75.055,26.2,-328,10,1,3,2977,1003
201409,74.4,강동구,86.1,79.471,26,-410,10,1,3,2977,988
201410,74.7,강동구,86.6,86.184,27.1,-406,10,1,3,2977,934
201411,74.7,강동구,86.7,92.58,28.1,-370,10,1,3,2977,782
201412,74.6,강동구,87.1,96.925,24.8,-478,10,1,3,2977,726
201501,74.8,강동구,87.8,100.33,21.4,-300,10,1,3,2753,653
201502,75.2,강동구,88.6,104.32,23.1,-698,10,1,3,2753,448
201503,75.7,강동구,89.8,76.821,27.3,-1054,10,1,3,2753,112
201504,76.3,강동구,91.4,80.094,25.7,-1216,10,1,3,2753,51
201505,76.7,강동구,92.3,87.589,31.8,-951,10,1,3,2753,44
201506,77.1,강동구,93,94.473,27.9,-1281,10,1,3,2753,39
201507,77.5,강동구,93.8,97.574,24,-988,10,1,3,2753,25
201508,78,강동구,94.4,100.88,20.8,-561,10,1,3,2753,16
201509,78.4,강동구,95.1,105.04,23.2,-456,10,1,3,2753,24
201510,78.7,강동구,95.3,77.675,26.9,-697,10,1,3,2753,12
201511,78.9,강동구,95.8,81.656,25,-582,10,1,3,2753,3
201512,79.1,강동구,96.1,88.057,29.2,-727,10,1,3,2753,3
201601,79.1,강동구,96.5,95.482,28.7,-396,10,1,3,2399,3
201602,79.2,강동구,96.8,98.782,22.5,-603,10,1,3,2399,3
201603,79.2,강동구,96.9,101.86,20.1,-698,10,1,3,2399,3
201604,79.2,강동구,97.2,105.07,23.2,-659,10,1,3,2399,9
201605,79.5,강동구,97.5,78.221,27.5,-837,10,1,3,2399,7
201606,79.9,강동구,97.6,82.827,23.3,-704,10,1,3,2399,5
201607,80.2,강동구,97.7,89.875,27.8,-422,10,1,3,2399,4
201608,80.6,강동구,97.7,96.158,25.6,-651,10,1,3,2399,3
201609,80.9,강동구,97.6,98.845,21.1,-289,10,1,3,2399,3
201610,81.5,강동구,97.4,102.98,20.8,-656,10,1,3,2399,1
201611,82.1,강동구,97.4,105.21,23.4,-459,10,1,3,2399,0
201612,82,강동구,97.3,79.08,23.4,-675,10,1,5,2399,0
201701,81.9,강동구,96.8,85.403,29,317,10,1,5,2427,36
201702,81.9,강동구,96.5,91.227,31.1,915,10,1,5,2427,36
201703,81.9,강동구,96.1,97.177,26.8,326,10,1,5,2427,30
201704,81.9,강동구,95.9,99.83,22.7,6,10,1,5,2427,20
201705,82.2,강동구,96.1,103.52,22.2,-5,10,1,5,2427,20
201706,83.5,강동구,97.3,75.709,24,-317,10,1,5,2427,0
201707,84.4,강동구,98.3,80.173,28,-670,10,1,5,2427,0
201708,85.4,강동구,99.4,86.184,31.4,-850,10,1,5,2427,0
